ISSUE ID,ISSUE NAME,ISSUE TYPE,STATE,LABELS,COMMENT
VDK-4079,TiledPlayback: Unable to play 2K clip,Defect,Implemented,['QA_DEFECTS'],
VDK-4078,UVDPlayback: H.264 Profile greater than 4.2 unsupported,Defect,Implemented,['QA_DEFECTS'],
VDK-4077,UVDPlayback: Seg Fault observed for many testcases,Defect,Implemented,['QA_DEFECTS'],
VDK-4076,TileDecoder API: deleteTile API isn't throwing any error when called without adding any tile,Defect,Opened,['QA_DEFECTS'],
VDK-4075,TileDecoder API: Calling start or stop API more than once on the same TileDecoder is incorrect behavior,Defect,Opened,['QA_DEFECTS'],
VDK-4074,TileDecoder API: Calling any API after stop API isn't throwing any error,Defect,Opened,['QA_DEFECTS'],
VDK-4073,TileDecoder API: stop API isn't throwing any error if called before start,Defect,Opened,['QA_DEFECTS'],
VDK-4072,TileDecoder API: queryOutput doesn't throw any error if called after adding an invalid input and starting the decode process,Defect,Opened,['QA_DEFECTS'],
VDK-4071,TileDecoder API: start API isn't throwing any error if called after stop API,Defect,Opened,['QA_DEFECTS'],
VDK-4070,TileDecoder API: start API isn't throwing any error when called without adding any tile or when tile added and deleted immediately,Defect,Opened,['QA_DEFECTS'],
VDK-4066,"UVDPlayback: Once hung, unable to kill UVDPlayback process even through system kill commands",Defect,Opened,[],
VDK-4063,TiledPlayback: Hard hang when 160 tiles of 1Kx1K resolution are run on QFHD,Defect,Opened,[],
VDK-4062,TiledPlayback: Slow playback observed on running 1Kx1K on SD,Defect,Implemented,[],
VDK-4061,TiledPlayback: Slow playback observed on running 512x512 on SD & QFHD,Defect,Implemented,[],
VDK-4060,TIledPlayback: Artifacts seen on running 128x128 on QFHD window size,Defect,Implemented,[],
VDK-4059,TiledPlayback: Seg Fault while trying to delete 3rd 128x128 tile,Defect,Implemented,[],
VDK-4058,TiledPlayback: Add Tile causes hard hang for 3rd 64x64 tile,Defect,Implemented,[],
VDK-4057,TiledPlayback: DeleteTile causes hard hang,Defect,Implemented,[],
VDK-4056,TiledPlayback: Seg Fault for unsupported no. of tiles,Defect,Opened,[],
VDK-4055,TiledPlayback: Display issue with Addition and Deletion of tiles of different sizes in same cfg,Defect,Implemented,[],
VDK-4054,TiledPlayback: No error thrown for unsupported resolutions,Defect,Implemented,[],
VDK-4053,TiledPlayback: Seg Fault when calling add/delete tile multiple times,Defect,Implemented,[],
VDK-4052,TiledPlayback: Seg Fault when deleteTile called on last tile,Defect,Implemented,[],
VDK-4051,"TiledPlayback: Dynamic Tile addition throws ""Decoder Render Failed"" error",Defect,Implemented,[],
VDK-4050,UVDPlayback: Random Seg Faults seen,Defect,Opened,[],
VDK-4049,UVDPlayback: Window closing doesn't exit uvdPlayback process,Defect,Opened,[],
VDK-4043,TileDecoder API: getStatus API of TileDecoder doesn't return expected values,Defect,Opened,[],
VDK-3713,TileDecoder API: deleteTile API fails with status code -3 for a specific sequence of add-delete-add,Defect,Opened,[],
VDK-3712,TileDecoder API: Seg fault observed when the running an invalid input in loopback mode,Defect,Opened,[],
VDK-3710,TileDecoder API: addTile api seg faults when fed with a stream that is of an unsupported resolution,Defect,Opened,[],
VDK-3709,TileDecoder API: Seg Fault when passing invalid input to addTile api,Defect,Opened,[],
VDK-431,TiledPlayback: ​No error for unsupported number of tiles,Defect,Closed,[],
VDK-430, API-TESTTOOL Issues list#1,Defect,Closed,[],
VDK-429,TileDecoder API: deleteTile API throws error status code -3,Defect,Opened,[],
VDK-428,TileDecoder API: Display goes blank after repeated add tile operations over multiple sequential application instances,Defect,Opened,[],
VDK-427,TileDecoder API: queryOutput crashes when called on a non-existent tile,Defect,Opened,[],
VDK-391,TiledPlayback: Unable to play more than 36 tiles for a 64x64 cfg,Defect,Closed,['QA_DEFECTS'],
VDK-390,TileDecoder API: Missing header inclusion in amdInterface.h,Defect,Closed,[],
VDK-389,etc folder not getting deleted by Un-installation  script,Defect,Closed,[],
VDK-365,TiledPlayback: Seg Fault when more than numTiles are tried to be added ,Defect,Closed,['QA_DEFECTS'],
VDK-364,UVDPlayback: Error Message for 10 instances - CS has been rejected ,Defect,Closed,['QA_DEFECTS'],
VDK-363,Build or Package issues wrt Version# 1.0.0.27-dev.23 ,Defect,Closed,['QA_DEFECTS'],
VDK-362,Installer issues on Version# 1.0.0.27-dev.23 ,Defect,Closed,['QA_DEFECTS'],
